[],"Members, join us for lunch at the club! We're serving up specials and favorites for lunch every Wednesday. This wee� https://t.co/E9FTuSvbjJ",the1836club,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued�,ashleyeleigh,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued�,Raven_P_ONeal,United States
[],"Chipotle�s Extra Pay, Dunkin�s Lawsuits &amp; Other Weekly News https://t.co/vS1agHP7ei https://t.co/duqRvKLNMa",joinhomebase,"San Francisco, CA"
[],@Uncle__Q I heard bitches commit sins for chipotle,Mallb__,North Philly
['Chipotle'],"#Chipotle gave me $30 too much change today. I returned it, of course, but was dismayed upon discovering no changin� https://t.co/yQFpbPfMAC",Tallcupoftea,Texas
[],Lmao what bruh,tev_bands,"Cleveland, OH"
[],Consistently,2amChris,VA
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued�,WrittenByHanna,"Charlotte, NC"
[],RT @TheYoungestKeys: When the chipotle employee tells me that guac costs extra: https://t.co/0WiCeh5eal,tev_bands,"Cleveland, OH"
[],RT @TalibanDan: me walking into chipotle at 10:45am to get hangover food https://t.co/GqaIMT8GqI,maxoday,UMass Amherst '20
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,AstralDelight,
[],"Lobster Grilled Cheese from @gratergc in Mission Valley, San Diego. Basic 5 grilled cheese with butter, fried lobst… https://t.co/pZBlnkT5s2",visualnewbie,"San Diego, CA"
[],Only when I’m constipated,ComicRwilliams,DMV  ✈️ ATL
[],RT @kiingjourne: if you don't mix your chipotle bowl before you eat it i can't trust you,__shaylaaa__,"Chicago, IL"
[],damn i should have sued when Orange Julius did this to me when I was 16,Bitcho_Mode,Cali
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,tasmosunt,London
[],@Margebarto @ChipotleTweets I call it the chipotle diet,sammi_lawrs,"Cincinnati, OH"
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,Sikthehedgehog,Argentina アルゼンチン
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,pawgressive,seattle
"['MovieBTS', 'Goodfellas', 'GoodFood']",The face I make as I carefully watch my chipotle order go through the line #MovieBTS #Goodfellas #GoodFood https://t.co/TEbLL6Vggp,squint,"Los Angeles, CA"
